course_name,topic_name,topic_url
Seminar in Canadian and Quebec Politics,Imagination,http://dbpedia.org/resource/Imagination
Research Design,advanced level,http://dbpedia.org/resource/GCE_Advanced_Level
Research Design,Canadian,http://dbpedia.org/resource/Canadians
Research Design,Quebec,http://dbpedia.org/resource/Quebec
Research Methods,logic,http://dbpedia.org/resource/Logic
Research Methods,Political Science,http://dbpedia.org/resource/Political_science
Research Methods,public policy,http://dbpedia.org/resource/Public_policy
Public Policy and the Governmental Process in Canada,Canada,http://dbpedia.org/resource/Canada
Public Policy and the Governmental Process in Canada,Socialization,http://dbpedia.org/resource/Socialization
Public Policy and the Governmental Process in Canada,Canadian,http://dbpedia.org/resource/Canada
Public Policy and the Governmental Process in Canada,Quebec,http://dbpedia.org/resource/Quebec
Public Policy and the Governmental Process in Canada,Imagination,http://dbpedia.org/resource/Imagination
Comparative Public Policy,Socialization,http://dbpedia.org/resource/Socialization
Comparative Public Policy,Comparative Politics,http://dbpedia.org/resource/Comparative_politics
Comparative Public Policy,Public Choice,http://dbpedia.org/resource/Public_choice
Comparative Public Policy,Global Politics,http://dbpedia.org/resource/Global_politics
Comparative Public Policy,Nationalism,http://dbpedia.org/resource/Nationalism
Comparative Public Policy,Canadian,http://dbpedia.org/resource/Canada
Comparative Public Policy,public policy,http://dbpedia.org/resource/Public_policy
Environmental Policy and Governance,Globalization,http://dbpedia.org/resource/Globalization
Environmental Policy and Governance,Foreign Policy,http://dbpedia.org/resource/Foreign_Policy
Environmental Policy and Governance,Human Security,http://dbpedia.org/resource/Human_security
Environmental Policy and Governance,Global Politics,http://dbpedia.org/resource/Global_politics
Environmental Policy and Governance,International Political Economy,http://dbpedia.org/resource/International_political_economy
Ageing and Public Policy,Canada,http://dbpedia.org/resource/Canada
Ageing and Public Policy,Socialization,http://dbpedia.org/resource/Socialization
Ageing and Public Policy,Canadian,http://dbpedia.org/resource/Canada
Ageing and Public Policy,Quebec,http://dbpedia.org/resource/Quebec
Ageing and Public Policy,Imagination,http://dbpedia.org/resource/Imagination
Ageing and Public Policy,environmental policy,http://dbpedia.org/resource/Environmental_policy
Ageing and Public Policy,international,http://dbpedia.org/resource/International_law
Ageing and Public Policy,toxic waste,http://dbpedia.org/resource/Hazardous_waste
Ageing and Public Policy,biodiversity,http://dbpedia.org/resource/Biodiversity
Ageing and Public Policy,climate change,http://dbpedia.org/resource/Climate_change
